mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_n_jobs,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0007991313934326172,0.0004912669616121495,0.0,0.0,0.0001,200,-1,elasticnet,newton-cg,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,,,,,241
0.0005743980407714843,0.00011778065066065184,0.0,0.0,0.0001,200,-1,elasticnet,newton-cholesky,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'newton-cholesky'}",,,,,,,,241
0.0005350589752197265,0.0001350331270886479,0.0,0.0,0.0001,200,-1,elasticnet,liblinear,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,241
0.0004929542541503906,4.724241133207173e-05,0.0,0.0,0.0001,200,-1,elasticnet,sag,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'sag'}",,,,,,,,241
0.000514364242553711,0.0001033974511885623,0.0,0.0,0.0001,200,-1,elasticnet,saga,"{'C': np.float64(0.0001), 'max_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'solver': 'saga'}",,,,,,,,241
0.0005371570587158203,0.00014046047702505717,0.0,0.0,0.0001,300,-1,l1,lbfgs,"{'C': np.float64(0.0001), 'max_iter': 300, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,241
0.0006432533264160156,0.00023781279852313594,0.0,0.0,0.0001,300,-1,l1,newton-cg,"{'C': np.float64(0.0001), 'max_iter': 300, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,241
0.0006114006042480469,0.00018637926801167614,0.0,0.0,0.0001,300,-1,l1,newton-cholesky,"{'C': np.float64(0.0001), 'max_iter': 300, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'newton-cholesky'}",,,,,,,,241
0.0023736476898193358,0.0007903509283576209,0.0025707244873046874,0.0007133014301408823,0.0001,300,-1,l1,liblinear,"{'C': np.float64(0.0001), 'max_iter': 300, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,229
0.0007184028625488281,0.00023842384332567267,0.0,0.0,0.0001,300,-1,l1,sag,"{'C': np.float64(0.0001), 'max_iter': 300, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'sag'}",,,,,,,,241
