Shared_Markers,k0,k1,k2,Share_allele,Value,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10,True_positive
15,0,8,7,22,144428.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-60,60:690,100000-999999,049101,S,049101,F,5.159651397296464,2.0
14,1,6,8,22,30.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,074002,S,120202,F,1.4771212547196624,0.0
15,0,4,11,26,400000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,140901,S,140901,F,5.6020599913279625,2.0
14,1,9,5,19,3.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,004202,F,015002,F,0.4771212547196624,0.0
14,1,9,5,19,1.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-175,175:575,0-99,090101,F,042002,F,0.0,0.0
15,0,7,8,23,400000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,100000-999999,097901,S,097901,F,5.6020599913279625,2.0
13,2,7,6,19,1.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,020701,S,057902,S,0.0,0.0
15,0,8,7,22,45793.2,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-60,60:690,10000-99999,119301,S,119301,F,4.660800992813214,1.0
15,0,5,10,25,506466.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,100000-999999,109501,S,109501,F,5.704550295682462,2.0
14,1,6,8,22,2.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,143901,S,038001,S,0.3010299956639812,0.0
14,1,8,6,20,60.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,077102,S,100902,S,1.7781512503836436,0.0
15,0,8,7,22,30.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,091101,F,053501,F,1.4771212547196624,0.0
15,0,9,6,21,22504.6,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,10000-99999,066401,S,066401,F,4.352271298130459,1.0
15,0,6,9,24,83900.6,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-1,1:749,10000-99999,047302,S,062402,F,4.923765066618419,1.0
15,0,7,8,23,2000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-30,30:720,1000-9999,018101,S,018101,F,3.3010299956639813,1.0
15,0,8,7,22,211866.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,100000-999999,076901,S,076901,F,5.326061267248137,2.0
14,1,8,6,20,2.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,044802,F,025602,F,0.3010299956639812,0.0
15,0,9,6,21,16559400.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,1000000+,056201,S,056201,F,7.219044596856479,2.0
13,2,7,6,19,1.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,0-99,065601,S,081101,S,0.0,0.0
15,0,8,7,22,40323.7,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-175,175:575,10000-99999,028701,S,028701,F,4.605560375021267,1.0
15,0,8,7,22,6000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,1000-9999,084302,F,026402,S,3.7781512503836434,1.0
14,1,9,5,19,8.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,032702,F,117202,F,0.9030899869919436,0.0
15,0,8,7,22,85808.7,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,10000-99999,107201,S,107201,F,4.933531322469279,1.0
15,0,5,10,25,2000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-60,60:690,1000-9999,107901,F,144102,F,3.3010299956639813,1.0
15,0,7,8,23,20000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,10000-99999,079701,S,079701,F,4.301029995663981,1.0
14,1,5,9,23,20.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-97,97:653,0-99,062402,S,008201,S,1.3010299956639813,0.0
15,0,5,10,25,473346.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,100000-999999,062001,S,062001,F,5.6751787114729,2.0
14,1,8,6,20,3.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,096302,S,107202,S,0.4771212547196624,0.0
15,0,4,11,26,71819.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,10000-99999,065601,S,065601,F,4.856239353762688,2.0
15,0,8,7,22,145725.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-15,15:735,100000-999999,028601,S,028601,F,5.163534063991483,2.0
14,1,5,9,23,8.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-60,60:690,0-99,107901,F,048902,S,0.9030899869919436,0.0
15,0,10,5,20,6000.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-375,375:375,1000-9999,083401,S,083401,F,3.7781512503836434,1.0
15,0,10,5,20,1059670.0,15,BlindSeach,Simulados,Paternidad,15_BlindSeach_Simulados_Paternidad_allele,ipi-375,375:375,1000000+,105501,S,105501,F,6.025170639328482,2.0
14,1,7,7,21,90.0,15,ScreenMatch,Simulados,Paternidad,15_ScreenMatch_Simulados_Paternidad_allele,Process_LIPI-1,1:749,0-99,079902,S,017902,S,1.954242509439325,0.0
